,SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
37,9.1,24.29,585826.0,9.0,21.0,cbr,1000.0,-------,30.0,3481.0,6250.0,6250000.0,clien-9,Switch1,52.848,52.848,52.85808,0.0,124.940828,124941.0,1000.0,0.059605,0.00144,52.848,52.87968,25.0,75.02368,Normal
38,24.8,8.0,161180.0,23.0,21.0,ack,55.0,-------,9.0,5022.0,16088.0,884840.0,Router,Switch1,16.402328,16.402328,16.412331,0.0,328.113525,18046.2,55.0,0.008438,0.0,16.392325,16.422334,1.030054,50.061864,Normal
39,24.14,14.0,205985.0,24.0,23.0,ack,55.0,-------,15.0,6415.0,16103.0,885665.0,server1,Router,20.606792,20.606792,20.616795,0.0,328.432001,18063.8,55.0,0.008446,0.0,20.606792,20.636802,1.030038,50.059974,Normal
40,2.0,24.2,393608.0,2.0,21.0,tcp,1540.0,-------,3.0,11438.0,16091.0,24780100.0,clien-2,Switch1,35.819479,35.819479,35.829602,0.0,328.26404,505526.0,1540.0,0.236321,0.000216,35.819479,35.850064,1.0,50.018467,Normal
41,14.0,24.14,347933.0,23.0,24.0,tcp,1540.0,-------,15.0,10284.0,16103.0,24798600.0,Router,server1,32.335368,32.335876,32.345999,0.000508,328.431807,505785.0,1540.0,0.236498,0.000508,32.315122,32.345999,1.0,50.029965,Normal
42,18.1,24.38,639675.0,23.0,24.0,cbr,1000.0,-------,39.0,6154.0,6250.0,6250000.0,Router,server1,74.2528,74.25352,74.2636,0.00072,124.941028,124941.0,1000.0,0.059605,0.00136,74.232,74.2636,25.0,75.0236,Normal
43,24.12,12.0,241221.0,23.0,22.0,ack,55.0,-------,13.0,7521.0,16103.0,885665.0,Router,Switch2,23.932846,23.932846,23.94285,0.0,328.491596,18067.0,55.0,0.008446,0.0,23.922843,23.952853,1.030026,50.051067,Normal
44,24.13,13.0,469316.0,23.0,22.0,ack,55.0,-------,14.0,13336.0,16103.0,885665.0,Router,Switch2,41.636234,41.636234,41.646237,0.0,328.460278,18065.3,55.0,0.008446,0.0,41.62623,41.65624,1.030032,50.055747,Normal
45,13.0,24.13,313495.0,23.0,24.0,tcp,1540.0,-------,14.0,9421.0,16103.0,24798600.0,Router,server1,29.693281,29.69445,29.704573,0.001169,328.460131,505828.0,1540.0,0.236498,0.001599,29.672604,29.704573,1.0,50.025737,UDP-Flood
46,24.9,9.0,239000.0,24.0,23.0,ack,55.0,-------,10.0,7448.0,16085.0,884675.0,server1,Router,23.712935,23.712935,23.722939,0.0,328.064183,18043.5,55.0,0.008437,0.0,23.712935,23.742945,1.030058,50.060098,Normal
47,24.0,0.0,350771.0,24.0,23.0,ack,55.0,-------,1.0,10343.0,16091.0,885005.0,server1,Router,32.53317,32.53317,32.543173,0.0,328.316229,18057.4,55.0,0.00844,0.0,32.53317,32.56318,1.03001,50.040685,Normal
48,24.3,3.0,288463.0,24.0,23.0,ack,55.0,-------,4.0,8771.0,16091.0,885005.0,server1,Router,27.753742,27.753742,27.763746,0.0,328.241051,18053.3,55.0,0.00844,0.0,27.753742,27.783752,1.030029,50.051929,Normal
49,1.1,24.21,458528.0,1.0,21.0,cbr,1000.0,-------,22.0,1975.0,6250.0,6250000.0,clien-1,Switch1,40.8,40.8,40.81008,0.0,124.944025,124944.0,1000.0,0.059605,0.000235,40.8,40.830475,25.0,75.0224,Normal
50,14.0,24.14,445583.0,14.0,22.0,tcp,1540.0,-------,15.0,12750.0,16103.0,24798600.0,clien-14,Switch2,39.806557,39.806557,39.81668,0.0,328.431807,505785.0,1540.0,0.236498,0.0,39.806557,39.836926,1.0,50.029965,Normal
51,5.0,24.5,22316.0,5.0,21.0,tcp,1540.0,-------,6.0,691.0,16091.0,24780100.0,clien-5,Switch1,3.309326,3.309326,3.31945,0.0,328.204637,505434.0,1540.0,0.236321,0.0,3.309326,3.339696,1.0,50.027339,Normal
52,24.6,6.0,115137.0,24.0,23.0,ack,55.0,-------,7.0,3583.0,16091.0,885005.0,server1,Router,12.054752,12.054752,12.064755,0.0,328.19309,18050.6,55.0,0.00844,0.0,12.054752,12.084762,1.030048,50.059112,Normal
53,24.5,5.0,352508.0,21.0,5.0,ack,55.0,-------,6.0,10386.0,16091.0,885005.0,Switch1,clien-5,32.685757,32.685757,32.695761,0.0,328.204851,18051.3,55.0,0.00844,0.0,32.665751,32.695761,1.030042,50.057349,Normal
54,24.5,5.0,559336.0,24.0,23.0,ack,55.0,-------,6.0,15598.0,16091.0,885005.0,server1,Router,48.530416,48.530416,48.540419,0.0,328.204851,18051.3,55.0,0.00844,0.0,48.530416,48.560426,1.030042,50.057349,Normal
55,24.9,9.0,513462.0,21.0,9.0,ack,55.0,-------,10.0,14440.0,16085.0,884675.0,Switch1,clien-9,45.033762,45.033762,45.043765,0.0,328.064183,18043.5,55.0,0.008437,0.0,45.013755,45.043765,1.030058,50.060098,Normal
56,15.0,24.15,271534.0,23.0,24.0,tcp,1540.0,-------,16.0,8360.0,16092.0,24781700.0,Router,server1,26.474498,26.474498,26.484621,0.0,328.205808,505437.0,1540.0,0.236337,0.0,26.454251,26.484621,1.0,50.030211,Normal
57,11.0,24.11,28566.0,11.0,22.0,tcp,1540.0,-------,12.0,891.0,16103.0,24798600.0,clien-11,Switch2,3.90093,3.90093,3.911054,0.0,328.522879,505925.0,1540.0,0.236498,0.0,3.90093,3.9313,1.0,50.016373,Normal
58,11.1,24.31,622629.0,23.0,24.0,cbr,1000.0,-------,32.0,5309.0,6250.0,6250000.0,Router,server1,67.49224,67.4924,67.50248,0.00016,124.943825,124944.0,1000.0,0.059605,0.00024,67.472,67.50248,25.0,75.02248,Normal
59,13.0,24.13,140363.0,13.0,22.0,tcp,1540.0,-------,14.0,4388.0,16103.0,24798600.0,clien-13,Switch2,14.431953,14.431953,14.442076,0.0,328.460131,505828.0,1540.0,0.236498,0.0,14.431953,14.462323,1.0,50.025737,Normal
60,24.7,7.0,496661.0,21.0,7.0,ack,55.0,-------,8.0,14015.0,16090.0,884950.0,Switch1,clien-7,43.744901,43.744901,43.754904,0.0,328.167767,18049.2,55.0,0.00844,0.0,43.724894,43.754904,1.030051,50.059851,Normal
61,5.0,24.5,116727.0,23.0,24.0,tcp,1540.0,-------,6.0,3644.0,16091.0,24780100.0,Router,server1,12.22515,12.22515,12.235274,0.0,328.204637,505434.0,1540.0,0.236321,0.0,12.204904,12.235274,1.0,50.027339,Normal
62,10.1,24.3,471785.0,22.0,23.0,cbr,1000.0,-------,31.0,2102.0,6250.0,6250000.0,Switch2,Router,41.82608,41.82608,41.83616,0.0,124.944225,124944.0,1000.0,0.059605,9.6e-05,41.816,41.846336,25.0,75.02232,Normal
63,24.9,9.0,510277.0,24.0,23.0,ack,55.0,-------,10.0,14352.0,16085.0,884675.0,server1,Router,44.768498,44.768498,44.778501,0.0,328.064183,18043.5,55.0,0.008437,0.0,44.768498,44.798507,1.030058,50.060098,Normal
64,0.0,24.0,179492.0,0.0,21.0,tcp,1540.0,-------,1.0,5608.0,16091.0,24780100.0,clien-0,Switch1,18.117055,18.117055,18.127179,0.0,328.316229,505606.0,1540.0,0.236321,0.0,18.117055,18.147425,1.0,50.010675,Normal
65,14.0,24.14,359583.0,14.0,22.0,tcp,1540.0,-------,15.0,10578.0,16103.0,24798600.0,clien-14,Switch2,33.208596,33.208596,33.218719,0.0,328.431807,505785.0,1540.0,0.236498,0.001476,33.208596,33.240442,1.0,50.029965,Normal
66,17.1,24.37,609696.0,22.0,23.0,cbr,1000.0,-------,38.0,4666.0,6250.0,6250000.0,Switch2,Router,62.33808,62.33864,62.34872,0.00056,124.941427,124941.0,1000.0,0.059605,0.0012,62.328,62.35944,25.0,75.02344,Normal
67,0.1,24.2,338492.0,21.0,23.0,cbr,1000.0,-------,21.0,824.0,6250.0,6250000.0,Switch1,Router,31.60208,31.602108,31.612188,2.8e-05,124.944425,124944.0,1000.0,0.059605,0.000151,31.592,31.622391,25.0,75.02224,Normal
68,24.6,6.0,414071.0,21.0,6.0,ack,55.0,-------,7.0,11941.0,16091.0,885005.0,Switch1,clien-6,37.409591,37.409591,37.419594,0.0,328.19309,18050.6,55.0,0.00844,0.0,37.389585,37.419594,1.030048,50.059112,Normal
69,6.1,24.26,418686.0,23.0,24.0,cbr,1000.0,-------,27.0,1593.0,6250.0,6250000.0,Router,server1,37.764629,37.765153,37.775233,0.000524,124.942027,124942.0,1000.0,0.059605,0.000993,37.744,37.775233,25.0,75.0232,Normal
70,5.0,24.5,280667.0,5.0,21.0,tcp,1540.0,-------,6.0,8590.0,16091.0,24780100.0,clien-5,Switch1,27.153733,27.153733,27.163856,0.0,328.204637,505434.0,1540.0,0.236321,0.001723,27.153733,27.185826,1.0,50.027339,Normal
71,9.0,24.9,48868.0,21.0,23.0,tcp,1540.0,-------,10.0,1523.0,16085.0,24770900.0,Switch1,Router,5.818162,5.818162,5.828285,0.0,328.063862,505218.0,1540.0,0.236234,0.0,5.808038,5.838408,1.0,50.030088,Normal
72,24.9,9.0,341181.0,21.0,9.0,ack,55.0,-------,10.0,10095.0,16085.0,884675.0,Switch1,clien-9,31.817094,31.817094,31.827097,0.0,328.064183,18043.5,55.0,0.008437,0.0,31.797087,31.827097,1.030058,50.060098,Normal
73,4.0,24.4,203739.0,4.0,21.0,tcp,1540.0,-------,5.0,6354.0,16091.0,24780100.0,clien-4,Switch1,20.394915,20.394915,20.405038,0.0,328.217832,505455.0,1540.0,0.236321,0.0,20.394915,20.425285,1.0,50.025368,Normal
74,7.2,24.49,58390.0,21.0,23.0,cbr,1500.0,-------,28.0,2353.0,9588.0,14382000.0,switch1,router,55.52624,55.52648,55.5366,0.00024,1066.08599,1599130.0,1500.0,0.137157,0.03072,55.516,55.54672,1.0,9.993646,UDP-Flood
75,0.1,24.2,637519.0,23.0,24.0,cbr,1000.0,-------,21.0,6048.0,6250.0,6250000.0,Router,server1,73.40416,73.40416,73.41424,0.0,124.944425,124944.0,1000.0,0.059605,0.0,73.384,73.41424,25.0,75.02224,Normal
76,24.9,9.0,338842.0,23.0,21.0,ack,55.0,-------,10.0,10039.0,16085.0,884675.0,Router,Switch1,31.626815,31.626815,31.636818,0.0,328.064183,18043.5,55.0,0.008437,0.0,31.616812,31.646822,1.030058,50.060098,Normal
77,24.13,13.0,320514.0,22.0,13.0,ack,55.0,-------,14.0,9586.0,16103.0,885665.0,Switch2,clien-13,30.230642,30.230642,30.240645,0.0,328.460278,18065.3,55.0,0.008446,0.0,30.210636,30.240645,1.030032,50.055747,Normal
78,24.6,6.0,395046.0,21.0,6.0,ack,55.0,-------,7.0,11462.0,16091.0,885005.0,Switch1,clien-6,35.949445,35.949445,35.959449,0.0,328.19309,18050.6,55.0,0.00844,0.0,35.929439,35.959449,1.030048,50.059112,Normal
79,4.1,24.24,580093.0,4.0,21.0,cbr,1000.0,-------,25.0,3196.0,6250.0,6250000.0,clien-4,Switch1,50.568,50.568,50.57808,0.0,124.942826,124943.0,1000.0,0.059605,0.00064,50.568,50.59888,25.0,75.02288,Normal
80,24.1,1.0,1977.0,24.0,23.0,ack,55.0,-------,2.0,61.0,16091.0,885005.0,server1,Router,1.397706,1.397706,1.407709,0.0,328.297902,18056.4,55.0,0.00844,0.0,1.397706,1.427715,1.030016,50.043427,Normal
81,15.1,24.35,526026.0,22.0,23.0,cbr,1000.0,-------,36.0,2622.0,6250.0,6250000.0,Switch2,Router,45.98608,45.986512,45.996592,0.000432,124.942227,124942.0,1000.0,0.059605,0.000955,45.976,46.007195,25.0,75.02312,Normal
82,24.4,4.0,70064.0,21.0,4.0,ack,55.0,-------,5.0,2176.0,16091.0,885005.0,Switch1,clien-4,7.826162,7.826162,7.836165,0.0,328.218006,18052.0,55.0,0.00844,0.0,7.806155,7.836165,1.030035,50.055377,Normal
83,11.0,24.11,81809.0,23.0,24.0,tcp,1540.0,-------,12.0,2559.0,16103.0,24798600.0,Router,server1,8.934982,8.934982,8.945106,0.0,328.522879,505925.0,1540.0,0.236498,0.0,8.914736,8.945106,1.0,50.016373,Normal
84,8.0,24.8,480470.0,21.0,23.0,tcp,1540.0,-------,9.0,13620.0,16088.0,24775500.0,Switch1,Router,42.492915,42.492915,42.503038,0.0,328.11323,505294.0,1540.0,0.236278,0.0,42.482792,42.513162,1.0,50.031854,Normal
85,1.1,24.21,634514.0,21.0,23.0,cbr,1000.0,-------,22.0,5899.0,6250.0,6250000.0,Switch1,Router,72.20208,72.20216,72.21224,8e-05,124.944025,124944.0,1000.0,0.059605,0.00016,72.192,72.2224,25.0,75.0224,Normal
86,6.2,24.48,9457.0,21.0,23.0,cbr,1500.0,-------,27.0,381.0,9588.0,14382000.0,switch1,router,9.818097,9.818217,9.828337,0.00012,1066.08599,1599130.0,1500.0,0.137157,0.0306,9.807857,9.838457,1.0,9.993646,UDP-Flood
87,3.0,24.3,570751.0,23.0,24.0,tcp,1540.0,-------,4.0,15896.0,16091.0,24780100.0,Router,server1,49.427002,49.427002,49.437125,0.0,328.240918,505490.0,1540.0,0.236321,0.0,49.406755,49.437125,1.0,50.02192,Normal
88,24.0,0.0,383589.0,23.0,21.0,ack,55.0,-------,1.0,11171.0,16091.0,885005.0,Router,Switch1,35.06087,35.06087,35.070874,0.0,328.316229,18057.4,55.0,0.00844,0.0,35.050867,35.080877,1.03001,50.040685,Normal
89,24.13,13.0,9757.0,22.0,13.0,ack,55.0,-------,14.0,291.0,16103.0,885665.0,Switch2,clien-13,2.146082,2.146082,2.156085,0.0,328.460278,18065.3,55.0,0.008446,0.0,2.126075,2.156085,1.030032,50.055747,UDP-Flood
90,24.7,7.0,202203.0,23.0,21.0,ack,55.0,-------,8.0,6295.0,16090.0,884950.0,Router,Switch1,20.262697,20.262697,20.2727,0.0,328.167767,18049.2,55.0,0.00844,0.0,20.252694,20.282704,1.030051,50.059851,Normal
91,10.0,24.1,153767.0,22.0,23.0,tcp,1540.0,-------,11.0,4807.0,16103.0,24798600.0,Switch2,Router,15.702316,15.702316,15.712439,0.0,328.561898,505985.0,1540.0,0.236498,0.0,15.692193,15.722562,1.0,50.010552,Normal
92,4.2,24.46,73224.0,4.0,21.0,cbr,1500.0,-------,25.0,3091.0,10050.0,15075000.0,client-4,switch1,69.333143,69.333263,69.343383,0.00012,1118.27935,1677420.0,1500.0,0.143766,0.03048,69.333143,69.363623,1.0,9.987021,UDP-Flood
93,20.0,25.0,74641.0,20.0,21.0,tcp,55.0,-------,0.0,44.0,7085.0,389675.0,clienthttp,switch1,70.758269,70.758269,70.788909,0.0,94.7212,5209.67,55.0,0.003716,0.07378,70.758269,70.832049,1.201267,75.999728,SIDDOS
94,8.1,24.28,509424.0,21.0,23.0,cbr,1000.0,-------,29.0,2463.0,6250.0,6250000.0,Switch1,Router,44.71408,44.714683,44.724763,0.000603,124.941228,124941.0,1000.0,0.059605,0.001287,44.704,44.735527,25.0,75.02352,Normal
95,9.1,24.29,622143.0,23.0,24.0,cbr,1000.0,-------,30.0,5285.0,6250.0,6250000.0,Router,server1,67.30088,67.3016,67.31168,0.00072,124.940828,124941.0,1000.0,0.059605,0.00144,67.28,67.31168,25.0,75.02368,Normal
96,24.14,14.0,79681.0,24.0,23.0,ack,55.0,-------,15.0,2481.0,16103.0,885665.0,server1,Router,8.713445,8.713445,8.723448,0.0,328.432001,18063.8,55.0,0.008446,0.0,8.713445,8.743454,1.030038,50.059974,Normal
97,24.3,3.0,167066.0,24.0,23.0,ack,55.0,-------,4.0,5209.0,16091.0,885005.0,server1,Router,16.944897,16.944897,16.9549,0.0,328.241051,18053.3,55.0,0.00844,0.0,16.944897,16.974907,1.030029,50.051929,Normal
98,1.1,24.21,303966.0,1.0,21.0,cbr,1000.0,-------,22.0,493.0,6250.0,6250000.0,clien-1,Switch1,28.944,28.944,28.95408,0.0,124.944025,124944.0,1000.0,0.059605,0.000221,28.944,28.974461,25.0,75.0224,Normal
99,7.0,24.7,149495.0,7.0,21.0,tcp,1540.0,-------,8.0,4670.0,16090.0,24778600.0,clien-7,Switch1,15.288604,15.288604,15.298728,0.0,328.167486,505378.0,1540.0,0.236307,0.0,15.288604,15.318974,1.0,50.029842,Normal
100,19.1,24.39,261674.0,19.0,22.0,cbr,1000.0,-------,40.0,87.0,6250.0,6250000.0,clien-19,Switch2,25.696,25.696,25.70608,0.0,124.940628,124941.0,1000.0,0.059605,0.00152,25.696,25.72776,25.0,75.02376,Normal
101,7.0,24.7,221770.0,23.0,24.0,tcp,1540.0,-------,8.0,6914.0,16090.0,24778600.0,Router,server1,22.11428,22.11428,22.124403,0.0,328.167486,505378.0,1540.0,0.236307,0.0,22.094034,22.124403,1.0,50.029842,Normal
102,24.1,10.0,17540.0,23.0,22.0,ack,55.0,-------,11.0,546.0,16103.0,885665.0,Router,Switch2,2.870731,2.870731,2.880734,0.0,328.561918,18070.9,55.0,0.008446,0.0,2.860728,2.890738,1.030013,50.040562,Normal
103,24.14,14.0,115549.0,22.0,14.0,ack,55.0,-------,15.0,3591.0,16103.0,885665.0,Switch2,clien-14,12.112099,12.112099,12.122102,0.0,328.432001,18063.8,55.0,0.008446,0.0,12.092093,12.122102,1.030038,50.059974,Normal
104,24.0,0.0,167320.0,23.0,21.0,ack,55.0,-------,1.0,5213.0,16091.0,885005.0,Router,Switch1,16.980759,16.980759,16.990762,0.0,328.316229,18057.4,55.0,0.00844,0.0,16.970755,17.000765,1.03001,50.040685,Normal
